live.seats.taken,live.fee.original_price,live.fee.amount,live.review.count,live.review.score,live.speaker.member.name,live.speaker.member.headline,live.speaker.member.gender,live.speaker.description,live.subject,live.speaker_message_count,live.tags.name,live.tags.great_num,live.tags.score,live.tags.available_num,live.tags.live_num,live.liked_num
7074,999,999,462,4.52,董伟明,已离开知乎 祝好,1,"我是董伟明，豆瓣高级产品开发工程师。从 2011 年开始接触 Python, 从运维、运维开发到现在的 Web 开发，积累了丰富的运维和开发经验。热爱开源，为多个知名开源项目贡献过代码，也给 Python 标准库提交过 Patch 。我是《 Python Web 开发实战》作者，本书上市的 2 个多月时间里面已经售出 7k 余本，第四印正在筹备中，本书也将输出到台湾地区。",Python 工程师的入门和进阶,210,互联网,659,0,676,694,3622
4976,2990,2990,258,4.82,钱粮胡同,欧洲某行信贷组合战略,1,我是钱粮胡同，知乎电子书「行业分析怎么做？— 外资投行基本面分析方法」的作者。我大学读的电子工程，转行后在德国拿的经济学博士，大部分青春献给了德意志银行，过去也在安联全球投资，德国复兴信贷银行，中国社会科学院等机构卖过命。之前我写过两个热门回答：「初入金融行业如何做实用行业研究与分析」以及「怎么在 Excel 上做数据地图」，一直想有机会能够把这些知识点展开详谈。这次正好借着知乎「升级你的效率工具包」专题，我想结合我这些年实际工作的经历和案例，与大家一起聊聊这个让人又爱又恨的 Excel 。,在外资投行巧用 Excel 做分析,279,教育,1189,0,1215,1234,2273
124,1900,1900,15,4.53,傅渥成,统计物理 / 复杂系统 / 生物物理,1,我是傅渥成，物理学博士毕业，最近刚刚正式获得博士学位。「知乎盐 Club 2014 」荣誉会员。主要研究方向为统计物理及其在生命科学问题中的应用，关注复杂系统等领域的最新进展，相关论文曾发表在 Physical Review Letter 等杂志，曾作为中国博士生代表参加在德国林岛举办的「诺贝尔奖获得者大会」。,观念扩散和传播的统计模型,90,互联网,659,0,676,694,154
1018,6900,6900,119,4.54,金旭亮,喜欢写代码的老师,1,"二十四年前，我从广西大学电气工程系毕业，开始了漫长的自学与软件开发之路，后到北京理工大学计算机学院读研并留校任教。
这些年来，我参与了大大小小的 N 个软件项目，使用过 N 种编程语言和技术，手写了代码数十万行，编写了 6 本软件书籍和教材，写了数百篇技术博客，开设了颇受欢迎的 MOOC 课程，并独自捣腾了一个计算机技术在线自助学习网站。",如何自学编程？,216,科学技术,400,0,404,414,4719
104,3900,3900,7,4.71,Han Hsiao,数据分析/数据挖掘/机器学习/人工智能/日格一物,1,我是 Han Hsiao，本科在 BJTU 学计算机工程，AUN Master 毕业选择了 Big Data 这条不归路。在澳洲写过 Python 分布式爬虫、搭过 Hadoop 平台；在 IBM CDL「中国开发中心」做过 DB2 开发和大数据研究；在中国电信北研院做过大数据精准广告和客户存留；目前在国电全球能源互联网研究院，探索人工智能的未来。同时也是数据挖掘与数据分析的优秀回答者。,数据达人养成计划「实战篇」,159,互联网,659,0,676,694,483
1215,6900,6900,46,4.63,马力,UI和交互设计师课程表 https://zhuanlan.zhihu.com/p/29264632,1,我是马力，超过 10 年经验的产品经理和设计师，最美应用创始人，创新工场早期成员，豌豆荚创始成员、产品经理， IBM 用户体验设计师。在互联网产品的各个环节上都有实践经验，产品、界面、运营、推广和商业转化。在知乎里，是用户体验和产品相关的四个领域的优秀回答者，出版《产品设计师技能书》，撰写系列专栏《产品设计与用户体验如何思考》。,<f0><U+009F><U+0092><U+00A1> 快速了解设计师知识体系,148,互联网,659,0,676,694,819
1509,990,990,108,4.9,钱粮胡同,欧洲某行信贷组合战略,1,我是钱粮胡同，知乎电子书「行业分析怎么做？— 外资投行基本面分析方法」的作者，也是知乎金融与银行话题下的优秀回答者。我大学读的电子工程，之后在德国拿的经济学博士，期间写过几本经济金融类书籍，也在国际权威经济学期刊上发表过几篇论文。我的大部分职业生涯都在德意志银行度过，之前也在安联全球投资，德国复兴信贷银行以及中国社会科学院等机构卖过命。,入行金融业要读什么书？,250,阅读与写作,314,0,316,321,1600
2305,1900,1900,132,4.87,董伟明,已离开知乎 祝好,1,我是董伟明，豆瓣高级产品开发工程师，《 Python Web 开发实战》作者，本书上市的 5 个月时间里面已经售出 10k 余本，本书已经在台湾地区上市。我在 2012 和 2014 年分别通过 2 个爬虫免试获得 2 个业界知名公司 offer，在之前的公司参与和维护着使用 Celery、Twisted 等技术完成每天上亿次抓取量的抓取服务，在过去的工作中完成过上百个抓取任务。,爬虫从入门到进阶,289,互联网,659,0,676,694,2621
511,2900,2900,52,4.79,董伟明,已离开知乎 祝好,1,我是董伟明，豆瓣高级产品开发工程师，参与多个豆瓣产品线的前后端开发，可能是少有的后端开发中非常关注前端开发的开发者。我是《 Python Web 开发实战》作者，本书上市的 5 个月时间里面已经售出 10k 余本，通过本书我还获得了电子工业出版社颁发的「优秀作者」证书，第五印正在筹备中，本书已经在台湾地区上市。,Web 开发那些事儿,211,互联网,659,0,676,694,575
1032,1900,1900,62,4.68,YJango,深度学习/人工智能；从语音、画面、文本、视频寻找人类行为规律,1,我是 YJango ，不小心来了日本。世界观莫名其妙的变了，想要学习人工智能。但四年前的我，不会丁点英语，数学连向量是啥都不知。学习过程只能用痛苦来形容。开始学习时，读英语舌头都打结，读数学书时经常一周翻不过 10 页，都怀疑自己的能力。不过努力还是有回报，曾经痛苦挣扎的也渐渐学会了，也形成了自己的方法论和价值观。也可能是因为我的学习并非出于应试目的，而是让自己觉得真正学会为止，我对问题的理解会更偏向实用。人工智能是人类能力的另一次扩展，任何人都应该可应用该技术，而非大公司的专利。这是我对未来的坚信。也正是出于该坚信，我想分享我个人全部关于从零入门人工智能的心得和误区。毕竟和学霸们不同的是，我真是从零入门的，那些对学霸不是问题的知识对我都是问题。希望自己的心得会对学生或其他领域想要步入该区域的朋友有所帮助。,深层学习入门误区,256,科学技术,400,0,404,414,1079
1491,999,999,52,4.13,猴子,微信公众号：猴子聊人物,1,我是猴子，一个从二本院校，通过蜕变，成功保送到中国科学院的研究生，毕业后在 IBM 工作过两年。利用业余碎片化时间，每天坚持 1 小时，从零开始成功转行数据分析。现从事大数据分析，和自媒体创业。,从零学会数据分析：数据结构入门,164,互联网,659,0,676,694,1433
1659,5900,5900,51,4.49,北冥乘海生,大数据仁波切 公众号“计算广告”(Comp_Ad),1,我是北冥乘海生，在微软研究院做了四年人工智能研究后，我义无反顾地投入了数据科学家的队伍，并在  Yahoo! Labs 、 MediaV 、奇虎 360 等从事互联网大数据与商业变现的工作，期间用数据驱动的公司收入增长数以十亿计。去年，我出版了数据变现领域的业界首部专著——《计算广告》（本书现已在「知乎书店」上架，欢迎大家购买），影响了业内数万的专业读者，并成为许多互联网公司数据与商业化部门人手一册的教程。,<f0><U+009F><U+0092><U+00A1> 如何用数据来挣钱？,133,互联网,659,0,676,694,1185
1256,4900,4900,58,4.71,田吉顺,来问丁香医生,1,我是田吉顺，之前在公立三甲医院工作了 10 年，今年走出体制，想要做一些互联网医疗相关的尝试，现在丁香诊所做妇产科医学总监。,认识阴道,94,医学与健康,254,0,254,262,2952
790,3900,3900,54,4.7,王礼Leon,大数据科学家/职业生涯规划导师,1,随手记大数据总监，前阿里和腾讯大数据专家。本科华南理工大学应用数学，硕士中欧国际工商学院 EMBA 。 10 年+的著名企业大数据经验，精通大数据平台建设、大数据分析挖掘及产品应用、数据化运营体系构建、大数据战略及价值变现。在行 APP 、专头 APP 大数据行家，任多家企业大数据战略顾问，曾给 N 多人进行过《数据分析师职业生涯规划》咨询服务,数据分析师：从零入门到精通,140,职业,1070,0,1109,1128,1710
